row	col	gene1	gene2	score	score_ranking	train_edge	test_edge	new_edge
22	82	AARSD1	ABHD14A	0.9999513626098633	1	0	0	1
47	73	ABCB6	ABCG4	0.9997662901878357	2	0	0	1
38	98	ABCA6	ABI2	0.9994065165519714	3	0	0	1
70	74	ABCF3	ABCG5	0.999340832233429	4	0	0	1
18	93	AAR2	ABHD4	0.9992573857307434	5	0	0	1
4	45	A3GALT2	ABCB4	0.9990562200546265	6	0	0	1
8	20	AACS	AARS	0.9986861348152161	7	0	0	1
87	95	ABHD17A	ABHD6	0.9986627101898193	8	0	0	1
35	68	ABCA3	ABCF1	0.9985486268997192	9	0	0	1
2	49	A2M	ABCB8	0.998069167137146	10	0	0	1
32	41	ABCA12	ABCA9	0.9979976415634155	11	0	0	1
28	37	ABAT	ABCA5	0.9976695775985718	12	0	0	1
24	26	AASDHPPT	AATF	0.9975163340568542	13	0	0	1
18	90	AAR2	ABHD18	0.9971529245376587	14	0	0	1
23	84	AASDH	ABHD15	0.9971098899841309	15	0	0	1
15	87	AAMDC	ABHD17A	0.9970781803131104	16	0	0	1
62	65	ABCC9	ABCD3	0.996772050857544	17	0	0	1
31	77	ABCA11P	ABHD10	0.996483564376831	18	0	0	1
25	65	AASS	ABCD3	0.9963259696960449	19	0	0	1
44	46	ABCB11	ABCB5	0.9962136745452881	20	0	0	1
12	90	AADAT	ABHD18	0.9962089657783508	21	0	0	1
49	52	ABCB8	ABCC10	0.9957457184791565	22	0	0	1
21	78	AARS2	ABHD11	0.9954647421836853	23	0	0	1
12	63	AADAT	ABCD1	0.995374321937561	24	0	0	1
13	47	AAGAB	ABCB6	0.9953099489212036	25	0	0	1
11	60	AADACL4	ABCC6	0.9950926899909973	26	0	0	1
2	98	A2M	ABI2	0.9950881600379944	27	0	0	1
25	39	AASS	ABCA7	0.9948026537895203	28	0	0	1
72	76	ABCG2	ABHD1	0.9946503043174744	29	0	0	1
90	97	ABHD18	ABI1	0.9945365786552429	30	0	0	1
73	88	ABCG4	ABHD17B	0.9944713711738586	31	0	0	1
18	33	AAR2	ABCA13	0.9940609931945801	32	0	0	1
40	50	ABCA8	ABCB9	0.9935773015022278	33	0	0	1
